has_affiliate,has_sponsorships,has_merchandise,sponsorship_frequency,affiliate_frequency,merch_frequency,channel_id
False,False,True,0.0,0.0,0.02,UCpEhnqL0y41EpW2TvWAHD7Q
False,False,False,0.0,0.0,0.0,UC295-Dw_tDNtZXFeAPAW6Aw
False,False,False,0.0,0.0,0.0,UCJ5v_MCY6GNUBTO8-D3XoAg
False,False,True,0.0,0.0,0.34,UCIwFjwMjI0y7PDBVEO9-bkQ
False,False,False,0.0,0.0,0.0,UCFFbwnve3yF62-tVXkTyHqg
True,True,True,0.02,0.02,0.5,UCRijo3ddMTht_IHyNSNXpNQ
False,True,False,0.02,0.0,0.0,UCk8GzjMOrta8yxDcKfylJYw
False,False,True,0.0,0.0,0.42,UC0C-w0YjGpqDXGB8IHb662A
False,False,True,0.0,0.0,0.48,UCEdvpU2pFRCVqU6yIPyTpMQ
False,False,False,0.0,0.0,0.0,UCfM3zsQsOnfWNUppiycmBuw
False,False,True,0.0,0.0,0.26,UC9CoOnJkIBMdeijd9qYoT_g
False,False,True,0.0,0.0,0.78,UCqECaJ8Gagnn7YCbPEzWH6g
False,False,False,0.0,0.0,0.0,UCp0hYYBW6IMayGgR-WeoCvQ
False,False,False,0.0,0.0,0.0,UCYvmuw-JtVrTZQ-7Y4kd63Q
False,False,False,0.0,0.0,0.0,UCcgqSM4YEo5vVQpqwN-MaNw
True,True,False,0.08,0.04,0.0,UCvlE5gTbOvjiolFlEm-c_Ow
False,False,False,0.0,0.0,0.0,UC3gNmTGu-TTbFPpfSs5kNkg
False,False,False,0.0,0.0,0.0,UC4rlAVgAK0SGk-yTfe48Qpw
False,False,True,0.0,0.0,0.08,UCJrOtniJ0-NWz37R30urifQ
False,True,False,0.02,0.0,0.0,UCyoXW-Dse7fURq30EWl_CUA
True,False,False,0.0,0.96,0.0,UCBnZ16ahKA2DZ_T5W0FPUXg
True,False,False,0.0,0.78,0.0,UC22nIfOTM7KLIQuFGMKzQbg
False,True,False,0.04,0.0,0.0,UC56gTxNs4f9xZ7Pa2i5xNzg
False,False,False,0.0,0.0,0.0,UCb2HGwORFBo94DmRx4oLzow
True,True,True,0.04,0.02,0.34,UCX6OQ3DkcsbYNE6H8uQQuVA
True,False,True,0.0,0.06,0.02,UCcdwLMPsaU2ezNSJU1nFoBQ
False,False,False,0.0,0.0,0.0,UCOsyDsO5tIt-VZ1iwjdQmew
False,True,False,0.02,0.0,0.0,UCa10nxShhzNrCE1o2ZOPztg
True,True,True,0.04,0.02,0.02,UC3MLnJtqc_phABBriLRhtgQ
False,False,True,0.0,0.0,0.02,UC9TO_oo4c_LrOiKNaY6aysA
False,False,False,0.0,0.0,0.0,UC6-F5tO8uklgE9Zy8IvbdFw
False,False,True,0.0,0.0,1.0,UCANLZYMidaCbLQFWXBC95Jg
False,False,False,0.0,0.0,0.0,UC2xskkQVFEpLcGFnNSLQY0A
False,False,False,0.0,0.0,0.0,UC20vb-R_px4CguHzzBPhoyQ
False,False,False,0.0,0.0,0.0,UCiGm_E4ZwYSHV3bcW1pnSeQ
False,False,True,0.0,0.0,0.16,UC-8Q-hLdECwQmaWNwXitYDw
False,False,False,0.0,0.0,0.0,UCKqx9r4mrFglauNBJc1L_eg
False,True,False,0.72,0.0,0.0,UCRx3mKNUdl8QE06nEug7p6Q
False,True,True,0.02,0.0,0.14,UCY30JRSgfhYXA6i6xX1erWg
True,True,False,0.02,0.16,0.0,UC7_YxT-KID8kRbqZo7MyscQ
False,True,True,0.12,0.0,0.98,UCKqH_9mk1waLgBiL2vT5b9g
False,False,False,0.0,0.0,0.0,UC_aEa8K-EOJ3D6gOs7HcyNg
False,False,False,0.0,0.0,0.0,UCAvCL8hyXjSUHKEGuUPr1BA
False,False,False,0.0,0.0,0.0,UCstEtN0pgOmCf02EdXsGChw
False,False,False,0.0,0.0,0.0,UCKAqou7V9FAWXpZd9xtOg3Q
False,False,True,0.0,0.0,0.34,UCM9r1xn6s30OnlJWb-jc3Sw
False,False,False,0.0,0.0,0.0,UChGJGhZ9SOOHvBB0Y4DOO_w
False,False,False,0.0,0.0,0.0,UC8-Th83bH_thdKZDJCrn88g
False,False,True,0.0,0.0,0.02,UCt-k6JwNWHMXDBGm9IYHdsg
False,False,False,0.0,0.0,0.0,UC4NALVCmcmL5ntpV0thoH6w
False,False,True,0.0,0.0,0.74,UCYzPXprvl5Y-Sf0g4vX-m6g
True,True,True,0.02,0.42,0.72,UCV9_KinVpV-snHe3C3n1hvA
False,False,False,0.0,0.0,0.0,UCppHT7SZKKvar4Oc9J4oljQ
False,True,False,0.02,0.0,0.0,UCq-Fj5jknLsUf-MWSy4_brA
False,True,True,0.06,0.0,0.96,UCAW-NpUFkMyCNrvRSSGIvDQ
False,False,False,0.0,0.0,0.0,UCbW18JZRgko_mOGm5er8Yzg
False,False,False,0.0,0.0,0.0,UC-yXuc1__OzjwpsJPlxYUCQ
False,True,False,0.12,0.0,0.0,UC55IWqFLDH1Xp7iu1_xknRA
False,False,False,0.0,0.0,0.0,UCsPF3cApzCohxPp5oKdoWSQ
False,False,True,0.0,0.0,0.2,UCS5Oz6CHmeoF7vSad0qqXfw
False,False,False,0.0,0.0,0.0,UCBR8-60-B28hp2BmDPdntcQ
False,False,False,0.0,0.0,0.0,UCP6uH_XlsxrXwZQ4DlqbqPg
False,True,False,0.02,0.0,0.0,UCJ0uqCI0Vqr2Rrt1HseGirg
False,True,False,0.08,0.0,0.0,UCX52tYZiEh_mHoFja3Veciw
False,False,True,0.0,0.0,1.0,UCaWd5_7JhbQBe4dknZhsHJg
False,False,False,0.0,0.0,0.0,UCBVjMGOIkavEAhyqpxJ73Dw
False,False,False,0.0,0.0,0.0,UCpDJl2EmP7Oh90Vylx0dZtA
